level1,level2,level3,備考
街並み・暮らし,街,街,
街並み・暮らし,街,旧市街,
街並み・暮らし,街,路地,
街並み・暮らし,街,繁華街,
街並み・暮らし,街,夜景・ライトアップ,
街並み・暮らし,街,屋台,
街並み・暮らし,村,,
街並み・暮らし,市場,,
街並み・暮らし,空港,,
,,,
自然,水辺,海,
自然,水辺,川,
自然,水辺,湖,
自然,水辺,滝,
自然,緑,森,
自然,緑,公園,
自然,山,,
自然,砂漠,,
自然,花,,
自然,雪,,
自然,穴,,
自然,島,,
自然,氷河,,
,,,
宗教,仏教,寺院,
宗教,神道,神社,
宗教,キリスト教,教会,
宗教,キリスト教,大聖堂,
宗教,キリスト教,修道院,
宗教,イスラム教,モスク,
宗教,ヒンドゥー教,寺院,
宗教,聖地,,
,,,
建築・ランドマーク,宮殿,,
建築・ランドマーク,神殿,,
建築・ランドマーク,城,,
建築・ランドマーク,すごい建物,,
,,,
遺跡,ピラミッド,,
,,,
娯楽施設,テーマパーク,,
娯楽施設,植物園,,
娯楽施設,水族館,,
娯楽施設,動物,,
,,,
文化,祭,,
文化,音楽,,
文化,ショー,,
文化,美術館,,
文化,博物館,,
文化,アート,,
,,,
体験,ドライブ,,
体験,ダイビング,,
体験,セスナ,,
体験,ロープウェイ・ケーブルカー,,
体験,列車,,
体験,温泉,,
体験,船,,
体験,ヘリコプター,,
体験,トレッキング,,
